block,registration_gap,pct_registered,total_eligible_to_vote,registered_total,hisp_registration_gap,pct_hisp_registered,total_eligible_hispanic,registered_hisp_total,registered_1824_total,registered_2534_total,registered_3544_total
060816103021029,419,0.11789473684210526,475,56,182,0.026737967914438502,187,5,3,5,11
060816102014000,389,0.36644951140065146,614,225,181,0.28174603174603174,252,71,21,33,15
060816102012003,219,0.43116883116883115,385,166,268,0.25555555555555554,360,92,23,29,28
060816102022027,214,0.04035874439461883,223,9,119,0.01652892561983471,121,2,0,5,3
060816103033002,172,0.7666214382632293,737,565,-18,1.5,36,54,58,75,98
060816108001000,167,0.5570291777188329,377,210,88,0.40939597315436244,149,61,29,52,43
060816103034008,137,0.5054151624548736,277,140,5,0.8214285714285714,28,23,11,57,30
060816104001002,131,0.4018264840182648,219,88,81,0.3816793893129771,131,50,22,23,14
060816102032010,122,0.4106280193236715,207,85,123,0.2634730538922156,167,44,14,27,11
060816102022010,121,0.032,125,4,6,0.25,8,2,0,1,0
060816104002003,118,0.44339622641509435,212,94,85,0.38405797101449274,138,53,34,22,12
060816103042013,115,0.608843537414966,294,179,31,0.24390243902439024,41,10,8,17,41
060816110004005,114,0.6027874564459931,287,173,12,0.8208955223880597,67,55,17,33,46
060816103042004,110,0.3413173652694611,167,57,15,0.2857142857142857,21,6,0,7,13
060816110004016,106,0.4143646408839779,181,75,15,0.4230769230769231,26,11,2,33,25
060816102012000,103,0.6750788643533123,317,214,157,0.46779661016949153,295,138,30,60,34
060816104001010,103,0.4245810055865922,179,76,49,0.3950617283950617,81,32,10,22,18
060816108003000,91,0.5806451612903226,217,126,4,0.9384615384615385,65,61,27,38,23
060816110003001,88,0.6628352490421456,261,173,2,0.9354838709677419,31,29,13,20,35
060816102014004,84,0.4782608695652174,161,77,44,0.47619047619047616,84,40,19,17,9
060816100003010,83,0.8033175355450237,422,339,6,0.9166666666666666,72,66,38,124,48
060816107004003,83,0.5931372549019608,204,121,18,0.55,40,22,13,34,28
